"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"48850301","2026","4885025000","003","비파경로당","742-1","72","18","3","1","","2021-03-08 09:20:46.000","2026-09-12 18:20:25.000","","경상남도 하동군 하동읍 군청로 82-6","","5440176","N","","","127.7561147","35.0627831","","","","1000","2200","001"
"48850302","2026","4885025000","003","화산경로당","378-5","72","18","2","1","","2021-03-08 09:20:46.000","2026-09-12 18:20:25.000","","경상남도 하동군 하동읍 소재2길 3-3","","5440176","N","","","127.7573978","35.072108","","","","1000","2200","001"
"41500013","2026","4150025000","003","와현1리경로당","230-2","132","33","0","1","","2021-04-20 15:08:49.000","2025-07-18 22:45:26.000","","경기도 이천시 장호원읍 이풍로 253-21 ","","4070000","N","","","127.6002292","37.1609792","","","","1000","1700","001"
"46810006","2026","1278025000","003","고내경로당","389-2","73","18","1","1","","2021-03-10 10:43:16.000","2025-11-07 17:35:56.000","","전남광주통합특별시 강진군 강진읍동문길 15","","4920131","N","","","126.7706452","34.642263","","","","1000","2200","001"
"4213000303","2026","5113059000","003","봉화산벨라시티2차아파트경로당","1218-0","157.68","25","2","1","","2021-06-03 12:03:51.000","2026-07-21 11:17:18.000","","강원특별자치도 원주시 백간길 17-14","","4191093","N","","","127.9256051","37.3524109","","","","0900","1800","001"
"47730384","2026","4773043000","003","토매1리경로당","212-1","77.4","10","3","1","","2021-04-09 08:51:07.000","2026-05-06 10:39:02.000","","경상북도 의성군 안계면 토매1길 120 ","","5150159","N","","","128.4437115","36.3784931","","","","0900","1800","001"
"41670299","2026","4167053000","003","(오학동)오학1통경로당","134-10","150.48","37","1","1","","2021-03-11 16:11:16.000","2026-08-12 14:58:28.000","","경기도 여주시 오학동 오학길  18   (오학동)","","5700107","N","","","127.6498813","37.3146111","","","","","","001"
"46890066","2026","1285037000","003","삼산리경로당","696-4","51","12","2","1","","2021-03-16 21:33:34.000","2026-08-27 09:10:43.000","","전남광주통합특별시 완도군 금당면 삼산길 94-1 ","","4990296","Y","","","127.0484412","34.4378851","","","","0800","1800","001"
"46890067","2026","1285037000","003","신흥리경로당","912-0","44","11","2","1","","2021-03-16 21:33:34.000","2026-08-27 09:10:43.000","","전남광주통합특별시 완도군 금당면신흥원동길 5","","4990296","Y","","","127.049456","34.4218376","","","","0800","1800","001"
"2626000117","2026","2626051000","001","우성아파트정류소스마트버스정류장","77-1","19.2","6","","1","Y","2026-07-09 19:17:12.000","2026-07-09 19:17:12.000","◎ 한파쉼터 공동활용
◎ 하절기 냉방 6월~9월 운영(기온에 따라 기간 조정)
◎ 24:00~05:00 자동문 폐쇄","부산광역시 동래구 온천천로339번길 28 (낙민동한일유앤아이아파트 110동)","Y","","","","","129.091768","35.195391","","0500","1800","","","003"
"1156000379","2026","1156069000","003","보라매sk뷰아파트경로당","4958","","","","1","","2026-07-13 11:01:07.000","2026-07-13 11:01:07.000","","서울특별시 영등포구 여의대방로35가길 19 (보라매 SK VIEW)","","","","","","126.91819","37.502209","","","","","","001"
"1156000384","2026","1156062000","001","선유도서관","88-1","1354.7","285","","43","","2026-07-13 13:05:46.000","2026-07-13 13:05:46.000","","서울특별시 영등포구 선유로43가길 10-8 (선유도서관)","Y","","","","","126.892936","37.533321","","0900","2200","","","002"
"5219001840","2026","5219046000","004","새마을금고남원산내","658-2","","","","","","2026-07-13 14:54:08.000","2026-07-13 14:54:08.000","","전북특별자치도 남원시 산내면 대정길 82 (산내식당)","","","","","","127.626554","35.419028","","0900","1600","","","001"
"5219001841","2026","5219051000","004","새마을금고남원중앙본점","27-1","","","","","","2026-07-13 14:56:07.000","2026-07-13 14:56:07.000","","전북특별자치도 남원시 동림로 26 (새마을금고)","","","","","","127.389683","35.411345","","0900","1600","","","001"
"5219001843","2026","5219041000","004","새마을금고동남원본점","180-3","","","","","","2026-07-13 14:59:34.000","2026-07-13 14:59:34.000","","전북특별자치도 남원시 산동면 요천로 2914 (동남원새마을금고,산동지역아동센터)","","","","","","127.475671","35.491789","","0900","1300","","","001"
"5219001848","2026","5219059000","001","남원도통동우체국","592-1","","","","","","2026-07-13 15:12:46.000","2026-07-23 14:33:48.000","","전북특별자치도 남원시 춘향로 15 (남원도통동우체국)","","","","","","127.397945","35.416941","","0900","1600","","","001"
"5273000206","2026","5273000000","004","설천새마을금고","904-89","198","60","2","2","N","2026-03-26 17:37:32.000","2026-05-18 13:00:00.000","","전북특별자치도 무주군 설천면무설로 1589-1","N","","N","","","127.7876476","36.0091326","","0900","1600","","","001"
"5221000389","2026","5221039000","003","농원회관","726-17","77.04","29","","","","2026-04-13 10:56:41.000","2026-07-21 17:14:11.000","","전북특별자치도 김제시 청하면 청하3길 33","","","","","","126.8475","35.872978","","","","","","001"
"5221000533","2026","5221051000","003","서편경로당","342-3","","","","","","2026-04-16 09:11:08.000","2026-05-11 15:06:49.000","","전북특별자치도 김제시 중앙로 8","","","N","","","126.877155","35.80385","","","","","","001"
"4121000291","2026","4121065500","001","이케아.롯데아울렛광명점스마트버스정류장(정류장번호:14378)","500","15","5","","1","Y","2026-05-16 10:25:59.000","2026-07-14 21:37:49.000","","경기도 광명시 일직로 17 (이케아광명점,롯데아울렛)","Y","","","","","126.882746","37.423118","","0400","0100","","","003"
"2623000267","2026","2623066000","001","부산진구어린이청소년도서관","441-7","905.85","166","0","15","Y","2026-05-27 12:09:39.000","2026-06-08 11:10:49.000","","부산광역시 부산진구 백양순환로110번길 25 (부암3동주민센터)","Y","","N","","","129.039625","35.169012","","0900","1800","","","002"
"4673000254","2026","1273035000","003","유산남성경로당","73-1","78","16","2","1","","2026-05-29 11:09:57.000","2026-05-29 11:09:57.000","","전남광주통합특별시 구례군 광의면 유산길 58","","","","","","127.455787","35.248203","","","","","","001"
"2711000113","2026","2711058500","004","GS25대구역자이점","173","92.4","","","","N","2026-06-02 14:33:53.000","2026-08-28 13:49:17.000","","대구광역시 중구 서성로 99 (대구역센트럴자이)","N","","N","","","128.586559","35.875988","","0600","2300","","","002"
"5221000484","2026","5221042000","003","금구면신기경로당","311-56","","55","","","","2026-04-14 16:38:16.000","2026-04-14 16:38:16.000","","전북특별자치도 김제시 금구면 풍요로 1069","","","","","","127.01191","35.776323","","","","","","001"
"2826000347","2026","2827561000","003","가재울역트루엘에코시티경로당","627","210.78","30","2","6","","2026-04-21 13:17:26.000","2026-04-27 18:03:30.000","","인천광역시 서해구 열우물로240번길 20 (가재울역트루엘에코시티아파트)","","","N","","","126.686001","37.484559","","","","","","001"
"5221000602","2026","5221054000","003","이지움라프라임경로당","1132","","","","","","2026-04-22 10:21:58.000","2026-04-22 10:21:58.000","","전북특별자치도 김제시 도작로 38 (검산이지움 라프라임 아파트)","","","","","","126.903662","35.798786","","","","","","001"
"4311400298","2026","4311454000","001","율량지구주차타워","2177","","","","","N","2026-05-04 13:20:11.000","2026-07-15 16:51:54.000","","충청북도 청주시 청원구 율량로201번길 13","N","","N","","","127.499567","36.664703","","0900","1800","","","004"
"2671000258","2026","2671025000","001","다행복한종합복지관","234-1","400","40","0","3","N","2026-05-18 10:32:45.000","2026-08-26 17:32:36.000","","부산광역시 기장군 기장읍 차성로417번길 11 (기장교육행복타운)","Y","","N","","","129.214979","35.255404","","0900","1700","","","002"
"5221000478","2026","5221042000","003","오산경로당","443-1","","34","","","","2026-04-14 16:28:44.000","2026-04-14 16:28:44.000","","전북특별자치도 김제시 금구면 오봉로 150","","","","","","127.055193","35.785198","","","","","","001"
"4121000284","2026","4121064000","001","소하1동행정복지센터스마트버스정류장(정류장번호:14285)","1306-1","15","5","","1","Y","2026-05-16 10:12:33.000","2026-07-14 21:36:19.000","","경기도 광명시 소하동 1306-1","Y","","","","","126.884394","37.452225","","0400","0100","","","003"
"5274000299","2026","5274033500","001","장계노인복지관","863","620","110","","5","","2026-05-18 14:46:20.000","2026-06-22 12:36:12.000","","전북특별자치도 장수군 장계면 백화로 60 (장계면종합복지회관)","","","","","","127.589031","35.730983","","0900","1800","","","002"
"4148000626","2026","4148056000","001","해솔마을6.7단지(50046)정류소","690","12","","","1","Y","2026-06-11 15:22:09.000","2026-06-25 10:23:40.000","","경기도 파주시 와석순환로 380 (해솔마을6단지615동)","Y","","N","","","126.748523","37.721953","","0600","2400","","","003"
"1168000227","2026","1168069000","003","포이시니어센터(노인복지관)","1230","50","10","1","1","","2026-05-22 17:37:21.000","2026-08-09 17:27:11.000","서울특별시 강남구 논현로16길 11, 1층 ","서울특별시 강남구 논현로16길 11","","","N","","","127.04725","37.476572","","","","","","001"
"4673000269","2026","1273033000","003","용정여성경로당","588-4","57","15","2","1","","2026-05-29 15:34:11.000","2026-05-29 15:34:11.000","","전남광주통합특별시 구례군 토지면 용정길 36","","","","","","127.516206","35.197915","","","","","","001"
"4673000270","2026","1273033000","003","원내여성경로당","539-4","108","19","2","1","","2026-05-29 15:35:51.000","2026-05-29 15:35:51.000","","전남광주통합특별시 구례군 토지면 원내1길 37","","","","","","127.512304","35.199593","","","","","","001"
"4482500198","2026","4482525000","003","삭선8리마을회관","79-1","143","40","2","1","","2026-06-15 14:24:05.000","2026-08-05 11:25:36.000","","충청남도 태안군 태안읍 삭선길 539","","","N","","","126.272771","36.802445","","","","","","001"
"4139000428","2026","4139065000","001","해양생태과학관","","","","","1","","2026-06-15 17:38:33.000","2026-06-15 17:38:33.000","","경기도 시흥시 거북섬서로 35 (해양생태과학관)","","","","","","126.689454","37.320191","","1000","1800","","","002"
"5221000353","2026","5221058000","003","후신경로당","66-19","199.4","10","","","","2026-04-10 13:39:15.000","2026-04-27 13:26:27.000","","전북특별자치도 김제시 후신길 48","","","N","","","126.862829","35.799138","","","","","","001"
"3014000245","2026","3014053500","003","해모로더센트라아파트경로당","895","159.09","48","","","","2026-04-23 09:44:05.000","2026-04-23 09:44:05.000","","대전광역시 중구 선화서로 85 (대전해모로 더 센트라)","","","","","","127.415993","36.330233","","","","","","001"
"4775000115","2026","4775031500","003","신점2리법수경로당","154-7","56","14","1","1","","2026-06-23 14:23:44.000","2026-06-26 14:54:44.000","","경상북도 청송군 주왕산면 법수길 54 (법수경로당)","","","N","","","129.14598","36.34998","","","","","","001"
"2635000100","2026","2635065000","003","해운대청년채움공간","339-3","172.9","22","","4","Y","2026-06-08 17:39:10.000","2026-06-26 14:07:52.000","","부산광역시 해운대구 센텀동로 200","Y","","N","","","129.121938","35.182717","","0900","1800","","","003"
"4482500189","2026","4482534000","003","파도1리마을회관","315-76","177.7","90","2","2","","2026-06-15 13:43:36.000","2026-08-05 11:25:37.000","","충청남도 태안군 소원면 파도길 95","","","N","","","126.137704","36.737295","","","","","","001"
"4139000427","2026","4139065000","003","호반더프라임아파트경로당","2732","","","","1","","2026-06-15 17:33:55.000","2026-06-15 17:33:55.000","","경기도 시흥시 거북섬남로 77 (호반써밋더프라임)","","","","","","126.689457","37.322","","","","","","001"
"4155000539","2026","4155052000","001","[무더위쉼터스마트쉘터(정류장)]인지사거리(33161)","384-2","","","","","Y","2026-06-23 18:08:21.000","2026-07-15 10:46:09.000","","경기도 안성시 장기로69번길 9-14","Y","","N","","","127.269744","37.004624","","0900","1800","","","003"
"5221000468","2026","5221046000","003","광활경로당","666-6","","","","","","2026-04-14 11:23:44.000","2026-04-14 11:24:21.000","","전북특별자치도 김제시 광활면 광활9길 9","","","","","","126.741816","35.832399","","","","","","001"
"4476000476","2026","4476045000","003","비안(진호2리)경로당","401-1","98","20","2","2","","2026-06-24 13:23:41.000","2026-06-24 13:23:41.000","","충청남도 부여군 초촌면 마름로 33","","","","","","127.0365236","36.2827929","","","","","","001"
"5111000312","2026","5111039000","004","동춘천농협호반지점","1102-3","","20","","2","","2026-06-28 15:17:22.000","2026-06-28 15:45:56.000","","강원특별자치도 춘천시 동내면 춘천순환로 130","","","","","","127.758204","37.856409","","0900","1600","","","001"
"3600000016","2026","3600000000","003","가재마을4단지경로당","640","245","20","0","4","","2026-06-30 14:39:53.000","2026-07-23 14:35:53.000","","세종특별자치시 도움3로 160 (가재마을4단지 401동)","","","N","","","127.243619","36.50621","","","","","","001"
"5111000322","2026","5111065000","004","춘천원예농협남부지점","880-3","","20","","3","","2026-07-01 13:07:02.000","2026-07-01 13:07:02.000","","강원특별자치도 춘천시 퇴계농공로 20","","","","","","127.744223","37.85157","","0900","1600","","","001"
"5111000328","2026","5111070500","004","농협은행강원특별자치도교육청(출)","84","","20","","2","","2026-07-01 13:21:27.000","2026-07-01 13:21:27.000","","강원특별자치도 춘천시 영서로 2854 (강원특별자치도교육청)","","","","","","127.72579","37.907354","","0900","1600","","","001"
"4792000058","2026","4792025000","003","도촌1리마을회관","405-1","106","20","2","1","","2026-07-22 18:03:02.000","2026-07-22 18:03:02.000","","경상북도 봉화군 봉화읍 사제길 53 (도촌1리마을회관)","","","","","","128.672649","36.887365","","","","","","001"
"3600000056","2026","3600000000","004","세종레인보우로보틱스점","1095","76","3","","1","Y","2026-07-23 16:27:44.000","2026-08-07 14:29:59.000","","세종특별자치시 집현중앙3로 8","Y","","","","","127.329359","36.495499","","0900","1800","","","002"
"4111500155","2026","4111569000","004","도드람양돈농협화서역지점","644-5","","","","1","","2026-07-26 13:16:50.000","2026-07-26 13:16:50.000","","경기도 수원시 팔달구 덕영대로697번길 17 (그린프라자)","","","","","","126.99107","37.284994","","0900","1600","","","001"
"4723000317","2026","4723031000","003","우천1리월평부락경로당","1059-3","70","20","2","2","","2026-07-26 16:14:59.000","2026-07-26 16:14:59.000","","경상북도 영천시 청통면 월평길 21-4","","","","","","128.862356","35.986044","","","","","","001"
"4113100127","2026","4113153000","001","신흥시장.수정보건소(05071)정류장","3436-11","65","7","0","1","Y","2026-06-25 17:07:08.000","2026-07-15 11:07:40.000","","경기도 성남시 수정구 수정로 210 (제중빌딩)","Y","","","","","127.143148","37.444142","","0400","1800","","","003"
"5221000307","2026","5221034000","003","동평고마을회관","234","","","","","","2026-04-10 10:06:39.000","2026-08-01 14:14:46.000","","전북특별자치도 김제시 용지면 용지1길 13","","","N","","","126.957877","35.852519","","","","","","001"
"5221000375","2026","5221058000","003","송촌경로당","136-6","91.08","10","","","","2026-04-10 15:25:50.000","2026-04-27 13:26:27.000","","전북특별자치도 김제시 명덕2길 99","","","N","","","126.849113","35.79899","","","","","","001"
"3017000530","2026","3017059700","004","KT_M&S관저중로직영점","1008","85","6","","1","","2026-03-10 10:49:52.000","2026-03-10 10:49:52.000","","대전광역시 서구 관저중로 98 (리틀파워존)","","","","","","127.33542","36.300911","","1000","2000","","","002"
"4482500186","2026","4482500000","003","달산3리경로당","344-50","","","","","","2026-05-22 17:32:30.000","2026-08-05 11:25:37.000","","충청남도 태안군 남면 적돌길 580","","","N","","","126.311432","36.658068","","","","","","001"
"1150000349","2026","1150063000","003","마곡우림필유(아)어르신사랑방","1467","52.64","26","2","2","","2026-06-16 21:15:39.000","2026-07-13 17:42:19.000","","서울특별시 강서구 양천로28길 29 (마곡우림필유아파트101동)","","","N","","","126.82135","37.571793","","","","","","001"
"4113300227","2026","4113351000","001","현대아파트.중원도서관(06155)정류장","3121","6.5","13","0","1","Y","2026-06-26 07:22:07.000","2026-07-15 16:36:48.000","","경기도 성남시 중원구 둔촌대로 193 (현대아파트 101동)","Y","","","","","127.140689","37.428996","","0400","1800","","","003"
"3114000318","2026","3114052000","004","CU대공원파크베르점","1910","","","","","Y","2026-07-22 00:16:03.000","2026-08-05 09:35:05.000","","울산광역시 남구 문수로 482 (대공원 코아루 파크베르)","","","","","","129.305834","35.532142","","0000","2400","","","002"
"3114000321","2026","3114057000","004","CU울산달동블루점","1292-1","","","","","Y","2026-07-22 00:22:56.000","2026-08-05 09:36:26.000","","울산광역시 남구 왕생로 9","","","","","","129.332463","35.534325","","0000","2400","","","002"
"5221000437","2026","5221033000","003","상서경로당","56-1","82.44","18","","","","2026-04-13 15:57:49.000","2026-07-23 14:31:21.000","","전북특별자치도 김제시 백산면 황상1길 56","","","N","","","126.93569","35.856329","","","","","","001"
"5221000543","2026","5221040000","003","옥동그룹홈","940-7","69","20","","","","2026-04-16 11:50:43.000","2026-08-10 20:38:26.000","","전북특별자치도 김제시 성덕면 신평로 389-11","","","","","","126.834005","35.819763","","","","","","001"
